StockCode,avg_daily_demand,demand_std,total_units_sold,safety_stock,reorder_point,recommended_order_qty
21164,8.2,25.71,6058,112.22,169.6,245.93
21165,12.79,20.65,9450,90.15,179.67,383.63
21166,27.24,36.94,20128,161.27,351.93,817.1
21167,3.38,28.05,2495,122.45,146.08,101.29
21169,12.1,29.51,8941,128.83,213.52,362.96
21171,2.52,16.88,1860,73.71,91.32,75.51
21172,10.5,16.12,7759,70.39,143.89,314.98
21173,0.46,5.82,342,25.42,28.66,13.88
21174,13.28,21.43,9813,93.57,186.52,398.36
21175,28.29,71.41,20905,311.74,509.76,848.65
21179,5.85,21.91,4322,95.65,136.59,175.45
21181,33.99,29.03,25117,126.74,364.66,1019.63
21185,0.18,3.54,132,15.44,16.69,5.36
21186,7.14,27.01,5277,117.93,167.92,214.22
21187,1.96,24.28,1446,105.99,119.68,58.7
21188,1.24,8.0,918,34.91,43.61,37.27
21189,1.1,8.22,814,35.88,43.59,33.04
21190,1.24,16.22,918,70.81,79.51,37.27
21191,2.09,12.55,1544,54.78,69.4,62.68
21192,3.03,23.1,2237,100.82,122.01,90.81
21193,0.15,8.79,111,38.37,39.42,4.51
21194,0.79,7.99,581,34.88,40.39,23.59
21195,1.38,10.1,1017,44.09,53.72,41.29
21196,0.24,6.43,179,28.06,29.75,7.27
21197,0.63,11.49,466,50.17,54.59,18.92
21198,1.74,13.87,1283,60.55,72.71,52.08
21199,1.77,13.8,1305,60.24,72.6,52.98
21200,1.93,25.22,1425,110.1,123.6,57.85
21201,3.73,21.7,2757,94.74,120.85,111.92
21202,1.16,25.39,857,110.84,118.95,34.79
21203,2.09,26.26,1541,114.63,129.23,62.56
21204,2.18,21.02,1609,91.76,107.0,65.32
21205,0.92,6.89,683,30.09,36.56,27.73
21206,2.94,16.44,2170,71.77,92.32,88.09
21207,4.9,41.46,3618,180.99,215.26,146.87
21208,1.46,12.65,1079,55.21,65.43,43.8
21209,2.0,18.55,1477,81.0,94.99,59.96
21210,20.63,28.13,15249,122.8,267.24,619.04
21211,3.28,40.55,2422,177.04,199.98,98.32
21212,130.66,73.45,96560,320.64,1235.28,3919.89
21213,55.12,73.01,40733,318.71,704.54,1653.57
21214,2.72,30.1,2007,131.4,150.41,81.47
21215,6.09,35.79,4504,156.22,198.89,182.84
21216,5.34,10.07,3949,43.96,81.37,160.31
21217,4.01,5.89,2961,25.72,53.77,120.2
21218,7.18,11.15,5305,48.65,98.9,215.36
21219,1.4,4.84,1038,21.14,30.97,42.14
21220,0.93,4.13,684,18.01,24.49,27.77
21221,0.75,4.77,557,20.83,26.1,22.61
21222,0.85,4.4,629,19.2,25.16,25.53
21223,0.67,28.83,496,125.84,130.54,20.14
21224,3.0,6.87,2219,29.99,51.01,90.08
21226,0.29,6.72,216,29.35,31.4,8.77
21228,0.13,3.39,97,14.81,15.73,3.94
21231,26.75,19.56,19767,85.39,272.62,802.45
21232,52.75,27.03,38981,117.98,487.22,1582.45
21238,12.98,16.66,9589,72.72,163.55,389.27
21239,10.09,16.53,7457,72.16,142.79,302.72
21240,10.34,20.31,7643,88.65,161.05,310.27
21241,3.0,13.45,2216,58.74,79.73,89.96
21242,9.64,19.53,7123,85.24,152.71,289.16
21243,7.66,21.35,5660,93.22,146.84,229.77
21244,6.98,21.51,5161,93.9,142.79,209.51
21245,3.5,15.16,2589,66.18,90.7,105.1
21246,1.02,3.46,751,15.11,22.22,30.49
21247,0.57,5.08,423,22.16,26.17,17.17
21248,1.42,12.89,1050,56.25,66.2,42.63
21249,2.28,11.46,1686,50.02,65.99,68.44
21250,0.55,16.06,404,70.09,73.92,16.4
21251,0.81,10.45,599,45.61,51.28,24.32
21252,0.23,11.12,168,48.53,50.12,6.82
21253,0.46,4.16,343,18.14,21.39,13.92
21255,0.64,7.9,476,34.51,39.02,19.32
21256,0.44,8.53,326,37.25,40.34,13.23
21257,2.16,6.52,1596,28.47,43.58,64.79
21258,2.29,4.66,1692,20.33,36.36,68.69
21259,3.27,8.73,2413,38.1,60.96,97.96
21260,4.86,25.29,3591,110.39,144.41,145.78
21261,0.4,5.4,292,23.56,26.32,11.85
21262,0.87,5.56,640,24.27,30.33,25.98
21263,0.41,9.61,306,41.97,44.87,12.42
21264,0.53,5.71,394,24.92,28.65,15.99
21265,0.44,13.22,323,57.69,60.75,13.11
21266,0.03,2.19,23,9.54,9.76,0.93
21267,0.03,1.51,24,6.57,6.8,0.97
21268,0.54,14.72,399,64.24,68.02,16.2
21269,0.16,0.8,117,3.51,4.62,4.75
21270,0.11,0.75,78,3.27,4.01,3.17
21272,3.23,13.81,2384,60.29,82.87,96.78
21274,0.24,1.29,177,5.61,7.29,7.19
21275,0.34,4.44,251,19.4,21.78,10.19
21276,0.92,32.04,677,139.85,146.27,27.48
21277,0.08,0.38,58,1.65,2.2,2.35
21278,3.75,153.27,2770,669.09,695.33,112.45
21279,4.78,224.87,3530,981.67,1015.1,143.3
21280,4.51,211.28,3333,922.32,953.89,135.3
21281,4.99,256.6,3689,1120.18,1155.12,149.76
21282,0.5,6.39,369,27.9,31.4,14.98
21283,0.73,7.78,537,33.95,39.04,21.8
21284,2.11,14.56,1561,63.55,78.33,63.37
21285,1.37,11.72,1012,51.16,60.75,41.08
21286,1.37,11.53,1009,50.35,59.91,40.96
21287,5.59,93.81,4134,409.51,448.67,167.82
21288,1.34,6.13,993,26.76,36.17,40.31
21289,1.96,20.87,1449,91.13,104.85,58.82
21291,3.43,15.43,2534,67.35,91.35,102.87
21292,3.35,42.25,2477,184.46,207.92,100.55
21293,0.46,4.61,343,20.13,23.38,13.92
21294,3.17,24.74,2346,108.01,130.23,95.24
21298,0.07,2.27,52,9.9,10.39,2.11
21299,0.22,8.23,166,35.91,37.49,6.74
21300,0.07,3.8,53,16.59,17.09,2.15
21303,0.13,3.68,96,16.07,16.98,3.9
21304,0.12,7.2,86,31.43,32.24,3.49
21306,0.93,14.89,685,64.99,71.48,27.81
21307,1.02,29.49,753,128.72,135.85,30.57
21308,0.18,50.95,132,222.43,223.68,5.36
21309,0.07,17.48,49,76.33,76.79,1.99
21311,0.99,10.92,733,47.67,54.62,29.76
21312,0.41,20.93,300,91.37,94.21,12.18
21313,9.32,24.77,6889,108.11,173.37,279.66
21314,15.78,33.69,11658,147.09,257.52,473.26
21316,0.94,26.89,695,117.38,123.97,28.21
21317,0.49,13.6,360,59.36,62.77,14.61
21318,1.32,13.08,974,57.11,66.33,39.54
21319,0.69,12.02,510,52.48,57.31,20.7
21320,0.54,11.87,398,51.81,55.58,16.16
21321,0.17,10.46,122,45.65,46.81,4.95
21322,0.41,31.54,301,137.67,140.53,12.22
21323,1.01,41.05,744,179.21,186.26,30.2
21324,1.4,23.23,1031,101.41,111.17,41.85
21326,24.84,40.58,18356,177.15,351.02,745.17
21327,2.66,4.69,1967,20.49,39.12,79.85
21328,3.43,4.76,2535,20.8,44.81,102.91
21329,2.88,4.53,2126,19.79,39.93,86.31
21330,1.97,29.64,1456,129.4,143.19,59.11
21331,0.15,8.66,110,37.8,38.85,4.47
21332,0.37,7.13,270,31.14,33.7,10.96
21333,1.46,4.33,1082,18.91,29.16,43.92
21335,0.06,0.96,42,4.2,4.6,1.71
21336,2.47,181.58,1824,792.68,809.96,74.05
21337,0.04,3.28,33,14.31,14.63,1.34
21338,0.27,42.87,199,187.16,189.04,8.08
21339,0.04,2.56,30,11.18,11.47,1.22
21340,2.42,8.32,1785,36.34,53.25,72.46
21341,0.1,4.22,72,18.43,19.12,2.92
21343,0.03,5.51,20,24.04,24.23,0.81
21344,0.22,10.25,166,44.76,46.33,6.74
21348,1.14,11.6,845,50.64,58.65,34.3
21349,0.77,4.35,567,18.98,24.35,23.02
21350,0.31,5.98,227,26.13,28.28,9.22
21351,1.53,7.09,1132,30.96,41.68,45.95
21352,1.24,6.8,917,29.7,38.39,37.23
21353,0.03,1.54,19,6.71,6.89,0.77
21354,3.43,27.82,2534,121.45,145.45,102.87
21355,4.77,27.09,3527,118.27,151.68,143.18
21356,2.2,5.49,1624,23.97,39.35,65.93
21357,1.89,9.59,1399,41.84,55.1,56.79
21358,1.55,5.43,1147,23.71,34.57,46.56
21359,0.29,4.03,211,17.59,19.59,8.57
21360,0.6,18.07,444,78.9,83.11,18.02
21361,0.79,2.78,587,12.15,17.71,23.83
21363,1.38,2.34,1020,10.22,19.88,41.41
21364,0.64,13.6,476,59.38,63.89,19.32
21365,0.64,7.46,476,32.58,37.08,19.32
21366,0.33,10.5,247,45.84,48.18,10.03
21367,0.29,7.02,215,30.66,32.69,8.73
21368,0.27,7.89,203,34.44,36.37,8.24
21369,0.18,6.23,135,27.18,28.46,5.48
21370,0.08,4.77,56,20.8,21.33,2.27
21371,0.55,8.27,404,36.12,39.94,16.4
21372,0.21,4.74,158,20.68,22.18,6.41
21373,0.86,9.34,636,40.75,46.78,25.82
21374,0.64,9.29,474,40.57,45.06,19.24
21375,0.19,2.43,139,10.61,11.92,5.64
21376,0.25,7.08,188,30.89,32.67,7.63
21377,0.71,15.28,527,66.68,71.68,21.39
21378,0.76,15.63,561,68.25,73.56,22.77
21379,0.89,17.16,656,74.92,81.13,26.63
21380,6.84,25.08,5057,109.49,157.39,205.29
21381,6.97,36.53,5149,159.48,208.25,209.03
21382,1.69,14.07,1247,61.44,73.25,50.62
21383,3.02,9.59,2233,41.87,63.02,90.65
21384,2.6,14.62,1923,63.84,82.05,78.06
21385,14.88,31.39,10998,137.03,241.21,446.47
21386,1.62,10.83,1196,47.27,58.6,48.55
21387,0.03,7.85,25,34.26,34.5,1.01
21388,0.43,7.01,315,30.61,33.59,12.79
21389,3.12,8.12,2304,35.44,57.27,93.53
21390,14.92,32.34,11025,141.2,245.63,447.56
21391,1.95,9.18,1440,40.07,53.71,58.46
21392,10.21,714.16,7548,3117.64,3189.13,306.41
21393,7.11,508.09,5253,2218.07,2267.83,213.25
21394,5.42,26.74,4005,116.74,154.68,162.58
21395,4.03,27.06,2980,118.14,146.37,120.97
21396,1.28,18.12,948,79.08,88.06,38.48
21397,2.94,19.14,2171,83.54,104.1,88.13
21398,3.11,24.43,2299,106.64,128.41,93.33
21399,3.24,23.7,2392,103.45,126.11,97.1
21400,1.46,10.68,1078,46.62,56.84,43.76
21401,1.95,12.0,1444,52.4,66.07,58.62
21402,2.3,13.49,1698,58.88,74.96,68.93
21403,3.15,18.97,2326,82.83,104.86,94.42
21407,1.78,3.87,1317,16.89,29.37,53.46
21408,0.97,7.82,719,34.12,40.93,29.19
21410,0.43,2.87,315,12.53,15.52,12.79
21411,2.88,6.29,2131,27.45,47.63,86.51
21412,0.37,3.81,277,16.64,19.26,11.24
21413,4.29,383.26,3174,1673.11,1703.17,128.85
21414,2.22,246.01,1637,1073.97,1089.48,66.45
21415,0.49,4.7,361,20.51,23.93,14.65
21416,1.02,143.73,753,627.46,634.59,30.57
21417,0.68,8.67,505,37.84,42.63,20.5
21418,0.26,2.95,195,12.86,14.71,7.92
21419,1.7,274.58,1259,1198.66,1210.59,51.11
21420,0.17,5.85,122,25.53,26.68,4.95
21421,2.45,31.06,1807,135.61,152.73,73.36
21422,4.33,48.77,3203,212.89,243.23,130.03
21424,1.29,14.98,955,65.41,74.45,38.77
21425,0.68,17.56,505,76.64,81.43,20.5
21426,1.39,28.08,1029,122.6,132.35,41.77
21427,0.7,12.0,517,52.37,57.27,20.99
21428,3.98,20.17,2939,88.06,115.9,119.31
21429,8.92,14.22,6593,62.06,124.51,267.65
21430,6.43,15.14,4751,66.1,111.11,192.87
21431,2.01,12.09,1488,52.76,66.86,60.41
21432,1.28,6.02,943,26.3,35.23,38.28
21437,0.92,20.98,678,91.6,98.03,27.52
21438,0.51,34.59,378,151.01,154.59,15.35
21439,3.1,28.51,2289,124.45,146.14,92.92
21440,0.65,5.55,481,24.22,28.77,19.53
21441,1.27,13.61,941,59.42,68.33,38.2
21442,1.32,13.5,978,58.95,68.21,39.7
21443,0.35,39.68,258,173.23,175.67,10.47
21444,0.39,34.39,291,150.11,152.87,11.81
21445,2.08,36.48,1539,159.25,173.83,62.48
21446,1.73,7.37,1277,32.19,44.29,51.84
21447,3.79,24.04,2799,104.95,131.47,113.63
21448,1.31,4.59,970,20.04,29.22,39.38
21450,0.02,4.93,13,21.53,21.66,0.53
21452,2.64,6.83,1952,29.81,48.3,79.24
21454,1.27,5.63,939,24.57,33.46,38.12
21455,1.22,6.7,901,29.26,37.8,36.58
21456,1.0,36.49,738,159.28,166.27,29.96
21457,0.93,36.58,686,159.71,166.21,27.85
21458,1.04,31.74,768,138.56,145.83,31.18
21459,0.36,10.73,263,46.84,49.33,10.68
21460,0.15,3.63,113,15.83,16.9,4.59
21461,0.11,3.74,83,16.33,17.12,3.37
21462,0.57,2.63,424,11.47,15.48,17.21
21463,1.86,6.78,1376,29.58,42.61,55.86
21464,0.76,2.52,560,10.99,16.29,22.73
21465,1.08,14.04,796,61.3,68.84,32.31
21466,1.27,4.39,937,19.17,28.04,38.04
21467,1.4,9.47,1031,41.36,51.12,41.85
21468,0.91,16.23,672,70.85,77.22,27.28
21469,1.59,12.49,1173,54.52,65.63,47.62
21470,1.52,4.92,1121,21.49,32.11,45.51
21471,1.92,8.04,1419,35.09,48.53,57.6
21472,1.44,4.86,1066,21.21,31.31,43.27
21473,0.21,1.06,157,4.61,6.09,6.37
21474,0.28,1.37,210,5.99,7.98,8.53
21476,0.19,1.12,144,4.88,6.25,5.85
21477,0.37,22.25,273,97.11,99.7,11.08
21478,0.28,3.08,207,13.46,15.42,8.4
21479,9.3,16.76,6872,73.15,138.24,278.97
21480,0.39,7.73,286,33.73,36.43,11.61
21481,11.58,20.35,8557,88.82,169.87,347.37
21482,1.01,7.12,744,31.08,38.13,30.2
21484,6.52,7.68,4815,33.51,79.11,195.47
21485,10.73,15.25,7927,66.58,141.67,321.8
21486,1.56,8.04,1154,35.12,46.05,46.85
21488,3.31,15.11,2448,65.98,89.17,99.38
21489,0.04,1.24,28,5.41,5.68,1.14
21490,0.86,24.85,639,108.49,114.54,25.94
21491,3.92,17.67,2897,77.15,104.59,117.6
21493,0.37,10.44,272,45.57,48.15,11.04
21494,5.32,14.12,3932,61.65,98.9,159.62
21495,16.94,30.62,12515,133.65,252.2,508.05
21497,23.85,70.17,17625,306.32,473.27,715.49
21498,36.81,39.75,27201,173.54,431.19,1104.24
21499,20.91,32.59,15452,142.28,288.65,627.28
21500,21.85,31.08,16150,135.67,288.65,655.62
21503,2.44,22.47,1801,98.11,115.17,73.11
21504,6.79,16.49,5021,71.97,119.53,203.83
21506,15.29,33.59,11302,146.65,253.71,458.81
21507,11.26,15.92,8322,69.51,148.34,337.83
21508,9.2,12.59,6802,54.94,119.37,276.13
21509,11.93,15.01,8817,65.54,149.05,357.93
21511,0.05,5.66,40,24.69,25.07,1.62
21518,1.53,10.25,1131,44.75,55.46,45.91
21519,10.12,12.33,7482,53.84,124.71,303.73
21520,1.35,8.28,995,36.15,45.57,40.39
21523,9.54,22.25,7050,97.15,163.93,286.2
21524,7.23,13.33,5342,58.21,108.81,216.86
21527,4.64,10.82,3429,47.25,79.73,139.2
21528,1.23,13.23,910,57.77,66.39,36.94
21529,0.69,3.45,513,15.07,19.93,20.83
21530,1.31,7.09,966,30.96,40.11,39.22
21531,5.61,10.75,4146,46.91,86.19,168.31
21532,1.88,116.08,1389,506.75,519.91,56.39
21533,4.63,5.84,3421,25.47,57.88,138.88
21534,1.3,2.78,959,12.13,21.22,38.93
21535,9.22,12.47,6811,54.43,118.95,276.5
21536,0.3,2.34,223,10.23,12.34,9.05
21537,1.43,5.49,1054,23.98,33.96,42.79
21538,1.78,163.01,1314,711.64,724.09,53.34
21539,3.77,8.63,2784,37.68,64.05,113.02
21540,1.79,116.16,1325,507.12,519.67,53.79
21541,2.58,15.81,1907,69.03,87.1,77.42
21542,2.55,15.93,1882,69.54,87.37,76.4
21543,0.38,40.26,284,175.74,178.43,11.53
21544,8.3,31.54,6131,137.69,195.77,248.89
21545,0.94,30.68,698,133.95,140.56,28.34
21547,0.99,23.66,728,103.29,110.19,29.55
21548,0.94,24.61,691,107.43,113.98,28.05
21549,0.74,37.98,547,165.79,170.97,22.21
21550,0.41,14.17,301,61.84,64.69,12.22
21551,0.23,21.71,169,94.77,96.37,6.86
21552,0.22,12.25,166,53.47,55.04,6.74
21553,0.12,4.16,92,18.15,19.02,3.73
21554,0.23,24.68,168,107.74,109.33,6.82
21555,0.58,6.56,431,28.62,32.71,17.5
21556,2.2,25.51,1628,111.37,126.79,66.09
21557,1.29,7.18,956,31.36,40.42,38.81
21558,5.77,11.01,4261,48.06,88.42,172.98
21559,11.29,15.64,8341,68.29,147.3,338.61
21561,4.04,10.58,2988,46.18,74.49,121.3
21562,0.92,14.51,678,63.35,69.77,27.52
21563,3.79,20.41,2802,89.11,115.65,113.75
21564,2.66,19.91,1968,86.91,105.56,79.89
21576,1.01,2.93,743,12.79,19.83,30.16
21577,3.51,12.87,2593,56.17,80.73,105.26
21578,3.01,7.25,2224,31.67,52.74,90.28
21579,1.41,21.49,1044,93.82,103.7,42.38
21580,0.75,3.02,551,13.2,18.42,22.37
21581,1.61,16.79,1188,73.29,84.54,48.23
21582,0.16,7.67,117,33.49,34.6,4.75
21584,5.24,27.02,3876,117.97,154.69,157.35
21586,3.6,21.76,2664,95.01,120.25,108.15
21587,2.99,8.13,2211,35.5,56.45,89.76
21588,4.6,29.15,3398,127.27,159.45,137.94
21589,1.51,23.75,1119,103.68,114.28,45.43
21590,4.68,24.46,3456,106.78,139.52,140.3
21591,5.58,24.01,4124,104.8,143.86,167.42
21592,8.11,33.5,5991,146.24,202.99,243.21
21593,1.88,58.38,1392,254.87,268.05,56.51
21595,0.01,0.0,11,0.0,0.1,0.45
21609,2.05,14.81,1516,64.66,79.02,61.54
21610,0.74,8.4,549,36.66,41.86,22.29
21611,1.02,7.4,754,32.33,39.47,30.61
21612,0.94,9.51,698,41.51,48.12,28.34
21613,0.86,5.24,636,22.86,28.89,25.82
21614,2.2,20.7,1628,90.35,105.77,66.09
21615,1.61,12.0,1187,52.38,63.63,48.19
21616,1.58,8.25,1164,36.0,47.03,47.25
21617,1.16,6.06,854,26.47,34.56,34.67
21618,0.95,6.76,704,29.53,36.2,28.58
21619,1.54,9.85,1139,43.01,53.8,46.24
21620,1.5,5.17,1105,22.57,33.04,44.86
21621,9.4,16.03,6945,69.99,135.77,281.94
21622,5.07,26.79,3745,116.97,152.44,152.03
21623,9.74,61.74,7200,269.52,337.72,292.29
21624,2.42,31.95,1787,139.47,156.4,72.54
21625,1.37,7.55,1016,32.94,42.57,41.24
21626,2.05,6.51,1515,28.41,42.76,61.5
21627,0.27,2.62,201,11.42,13.32,8.16
21628,0.23,2.84,167,12.41,14.0,6.78
21629,0.24,1.16,181,5.08,6.8,7.35
21630,0.23,1.47,167,6.41,7.99,6.78
21631,0.3,5.43,221,23.69,25.78,8.97
21632,0.18,3.17,134,13.82,15.09,5.44
21633,0.24,4.06,176,17.73,19.4,7.14
21634,2.4,38.64,1773,168.7,185.49,71.98
21635,0.55,21.37,403,93.29,97.1,16.36
21636,1.4,13.75,1032,60.0,69.78,41.89
21637,1.84,31.5,1358,137.51,150.37,55.13
21638,1.42,7.4,1048,32.32,42.25,42.54
21639,0.35,12.57,259,54.86,57.31,10.51
21640,3.07,14.3,2269,62.41,83.9,92.11
21641,2.27,47.69,1674,208.2,224.06,67.96
21642,5.99,26.59,4425,116.08,157.99,179.63
21643,2.08,9.91,1536,43.24,57.79,62.35
21644,1.5,7.56,1106,33.01,43.49,44.9
21645,1.35,8.69,999,37.93,47.4,40.55
21647,1.19,6.06,880,26.47,34.81,35.72
21648,4.06,19.22,2997,83.91,112.3,121.66
21649,0.57,30.6,421,133.59,137.58,17.09
21650,4.41,26.41,3262,115.31,146.21,132.42
21651,1.94,19.35,1436,84.48,98.08,58.29
21652,1.22,8.46,903,36.93,45.49,36.66
21653,1.69,20.48,1251,89.39,101.24,50.78
21654,1.63,20.88,1201,91.15,102.52,48.76
21655,1.9,19.79,1402,86.37,99.65,56.91
21656,1.35,9.39,995,40.99,50.42,40.39
21657,0.37,2.09,272,9.14,11.72,11.04
21658,3.06,5.79,2263,25.26,46.7,91.87
21659,0.16,1.97,121,8.61,9.75,4.91
21661,0.32,2.36,240,10.29,12.56,9.74
21662,0.37,4.72,274,20.58,23.18,11.12
21663,0.1,2.24,76,9.78,10.5,3.09
21664,0.36,6.24,268,27.22,29.76,10.88
21665,1.19,17.11,879,74.71,83.04,35.68
21666,2.39,55.37,1767,241.71,258.45,71.73
21667,0.48,1.9,354,8.31,11.66,14.37
21668,14.16,19.38,10464,84.59,183.71,424.79
21669,14.56,19.8,10763,86.41,188.36,436.93
21670,12.17,18.03,8997,78.69,163.92,365.24
21671,12.98,20.79,9590,90.74,181.58,389.31
21672,15.17,21.73,11210,94.88,201.07,455.07
21673,13.91,22.86,10276,99.8,197.14,417.16
21674,0.06,4.27,44,18.66,19.07,1.79
21675,2.47,5.88,1829,25.66,42.98,74.25
21676,1.64,11.32,1212,49.43,60.91,49.2
21677,2.94,6.59,2176,28.77,49.39,88.34
21678,0.79,13.67,582,59.66,65.17,23.63
21679,6.71,46.4,4955,202.54,249.48,201.15
21680,3.98,27.0,2939,117.86,145.69,119.31
21681,0.32,4.55,235,19.88,22.11,9.54
21682,0.78,5.98,579,26.11,31.6,23.5
21683,1.3,11.12,962,48.53,57.65,39.05
21684,2.36,48.61,1747,212.21,228.76,70.92
21686,0.09,1.86,66,8.11,8.73,2.68
21687,0.65,8.27,481,36.1,40.65,19.53
21688,1.31,6.85,967,29.92,39.08,39.26
21689,0.47,12.46,344,54.38,57.64,13.96
21690,0.39,3.22,285,14.04,16.74,11.57
21691,0.34,2.29,254,9.98,12.39,10.31
21692,0.7,5.67,519,24.74,29.66,21.07
21693,1.28,6.03,949,26.32,35.31,38.53
21694,0.78,15.16,580,66.17,71.66,23.55
21695,0.88,6.14,654,26.8,32.99,26.55
21696,1.08,4.57,798,19.96,27.52,32.4
21697,0.5,83.67,372,365.27,368.8,15.1
21698,0.73,7.13,539,31.13,36.23,21.88
21699,0.15,31.75,108,138.6,139.62,4.38
21700,8.76,19.22,6470,83.9,145.19,262.65
21702,3.57,712.01,2636,3108.27,3133.24,107.01
21703,20.02,74.46,14797,325.05,465.21,600.69
21704,23.42,114.1,17304,498.09,662.0,702.46
21705,3.47,18.1,2563,79.03,103.31,104.05
21706,1.84,12.74,1360,55.64,68.52,55.21
21707,1.37,23.49,1010,102.56,112.12,41.0
21708,0.83,7.73,614,33.74,39.56,24.93
21709,0.95,27.68,700,120.84,127.47,28.42
21710,0.99,17.27,731,75.4,82.32,29.68
21711,0.52,9.6,385,41.89,45.54,15.63
21713,3.77,12.18,2783,53.16,79.52,112.98
21714,5.85,20.7,4324,90.35,131.31,175.53
21715,4.82,16.77,3564,73.21,106.97,144.68
21716,5.07,16.31,3750,71.22,106.74,152.23
21717,2.11,11.29,1562,49.3,64.09,63.41
21718,5.48,22.61,4047,98.69,137.03,164.29
21719,1.27,7.38,942,32.21,41.14,38.24
21720,1.46,12.55,1082,54.8,65.05,43.92
21721,1.54,9.18,1140,40.06,50.86,46.28
21722,0.49,9.58,363,41.81,45.25,14.74
21723,1.22,8.6,899,37.53,46.04,36.5
21724,1.4,6.67,1038,29.12,38.96,42.14
21725,1.57,9.61,1159,41.93,52.91,47.05
21726,1.51,10.17,1114,44.38,54.93,45.22
21728,0.41,31.28,300,136.54,139.38,12.18
21729,0.17,5.9,124,25.75,26.93,5.03
21730,1.73,3.76,1278,16.41,28.52,51.88
21731,40.21,51.49,29715,224.77,506.24,1206.29
21732,1.26,53.52,933,233.62,242.46,37.88
21733,24.36,29.11,17999,127.08,297.58,730.68
21734,0.13,2.95,98,12.86,13.78,3.98
21735,1.2,8.79,887,38.39,46.79,36.01
21736,0.28,6.63,205,28.94,30.88,8.32
21737,0.54,8.19,400,35.74,39.53,16.24
21738,0.61,3.78,451,16.49,20.76,18.31
21739,0.69,2.57,511,11.21,16.05,20.74
21740,0.28,2.83,204,12.34,14.27,8.28
21741,1.0,4.68,739,20.41,27.41,30.0
21742,0.6,1.87,442,8.17,12.36,17.94
21743,1.96,13.24,1447,57.82,71.53,58.74
21744,1.26,3.45,931,15.08,23.9,37.79
21745,3.7,16.34,2737,71.34,97.26,111.11
21746,8.08,20.25,5970,88.41,144.96,242.35
21747,2.77,36.2,2050,158.02,177.44,83.22
21749,7.66,86.11,5661,375.91,429.53,229.81
21750,0.42,6.85,313,29.9,32.87,12.71
21752,0.11,2.31,78,10.1,10.83,3.17
21754,10.62,3.8,7847,16.58,90.9,318.55
21755,7.81,3.58,5774,15.63,70.32,234.4
21756,2.26,2.54,1671,11.07,26.9,67.83
21757,0.11,1.19,80,5.18,5.94,3.25
21758,0.19,1.33,138,5.82,7.12,5.6
21759,0.04,3.61,30,15.78,16.06,1.22
21760,0.02,0.38,15,1.64,1.78,0.61
21761,0.09,4.46,67,19.45,20.09,2.72
21763,0.06,2.12,43,9.28,9.68,1.75
21764,0.02,0.93,17,4.08,4.24,0.69
21765,0.52,3.67,381,16.01,19.62,15.47
21768,0.69,15.74,510,68.73,73.56,20.7
21769,0.18,5.56,134,24.29,25.56,5.44
21770,4.05,31.54,2996,137.67,166.05,121.62
21773,2.25,13.45,1665,58.73,74.5,67.59
21774,2.37,16.94,1748,73.94,90.49,70.96
21775,1.19,4.47,883,19.53,27.89,35.85
21777,1.55,6.22,1147,27.16,38.02,46.56
21779,0.41,7.33,301,32.01,34.86,12.22
21780,0.27,4.12,203,17.97,19.89,8.24
21781,0.91,2.36,671,10.3,16.65,27.24
21784,0.41,1.34,302,5.83,8.7,12.26
21785,2.73,45.44,2016,198.36,217.46,81.84
21786,10.56,46.88,7801,204.63,278.53,316.68
21787,20.56,114.08,15192,498.01,641.91,616.73
21788,4.61,24.96,3404,108.97,141.21,138.19
21789,3.99,19.36,2950,84.53,112.48,119.76
21790,37.81,29.82,27942,130.17,394.84,1134.32
21791,25.15,34.75,18585,151.69,327.74,754.47
21792,0.67,3.88,498,16.92,21.64,20.22
21793,0.48,4.79,353,20.92,24.27,14.33
21794,0.97,5.1,716,22.26,29.05,29.07
21795,0.6,36.41,441,158.94,163.11,17.9
21796,0.44,27.81,324,121.41,124.48,13.15
21801,5.13,14.13,3789,61.67,97.56,153.82
21802,6.41,16.55,4738,72.25,117.13,192.34
21803,6.57,16.7,4853,72.92,118.88,197.01
21804,0.84,4.27,620,18.66,24.53,25.17
21805,3.01,23.98,2221,104.7,125.74,90.16
21806,3.68,20.64,2717,90.11,115.85,110.3
21807,4.65,19.31,3433,84.3,116.82,139.36
21808,1.37,9.21,1016,40.19,49.82,41.24
21809,4.13,24.55,3050,107.17,136.06,123.82
21810,9.63,29.86,7114,130.34,197.72,288.8
21811,8.74,21.61,6461,94.34,155.55,262.29
21812,1.14,4.25,841,18.54,26.51,34.14
21813,1.15,4.74,848,20.7,28.74,34.42
21814,0.94,5.77,691,25.19,31.74,28.05
21815,1.01,6.14,750,26.81,33.91,30.45
21816,0.58,6.69,426,29.19,33.22,17.29
21817,2.4,12.3,1772,53.69,70.47,71.94
21818,6.0,17.89,4434,78.1,120.1,180.0
21819,5.33,19.51,3938,85.18,122.48,159.86
21820,1.13,6.5,836,28.37,36.29,33.94
21821,1.0,6.16,736,26.89,33.86,29.88
21822,1.53,7.78,1132,33.98,44.7,45.95
21823,3.37,13.19,2487,57.56,81.12,100.96
21824,3.79,13.23,2803,57.75,84.3,113.79
21825,1.0,12.7,737,55.46,62.44,29.92
21826,2.48,14.04,1833,61.28,78.64,74.41
21827,1.14,9.35,843,40.82,48.8,34.22
